nombre,fuente,fecha
PUENTES Y VÍAS.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Delitos%20contra%20la%20seguridad%20p%C3%BAblica%22,N/A
TERRORISMO.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Delitos%20contra%20la%20seguridad%20p%C3%BAblica%22,N/A
VOLADURA DE OLEODUCTOS.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Delitos%20contra%20la%20seguridad%20p%C3%BAblica%22,N/A
DELITOS SEXUALES.xlsx,"https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Delitos%20contra%20la%20libertad,%20integridad%20y%20formaci%C3%B3n%20sexuales%22",N/A
VIOLENCIA INTRAFAMILIAR.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Delitos%20contra%20la%20familia%22,N/A
AFECTACIÓN A LA FUERZA PÚBLICA.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Afectacio%CC%81n%20a%20la%20Fuerza%20Pu%CC%81blica%22,N/A
DELITOS CONTRA EL MEDIO AMBIENTE.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Delitos%20contra%20los%20recursos%20naturales%20y%20el%20medio%20ambiente%22,N/A
CAPTURAS POR MINERÍA ILEGAL.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Resultados%20contra%20la%20explotaci%C3%B3n%20il%C3%ADcita%20de%20yacimientos%20mineros%22,N/A
INCAUTACIONES MINERIA.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Resultados%20contra%20la%20explotaci%C3%B3n%20il%C3%ADcita%20de%20yacimientos%20mineros%22,N/A
INCAUTACIÓN ORO Y MERCURIO.xlsx,https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/items?siteId=Sitio-Web-Ministerio-Defensa&limit=100&offset=0&orderBy=name:asc&q=type%20eq%20%22DocumentFile%22%20and%20fields.filecategory%20eq%20%22Estad%C3%ADstica%20Desagregada-Resultados%20contra%20la%20explotaci%C3%B3n%20il%C3%ADcita%20de%20yacimientos%20mineros%22,N/A
