nombre,fecha,download_url
DELITOS CONTRA EL MEDIO AMBIENTE.xlsx,"{'value': '2026-02-24T00:04:46.399Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT8A90C91C09374BC0BBD44108E631B2B1/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
AFECTACIÓN A LA FUERZA PÚBLICA.xlsx,"{'value': '2026-02-23T21:22:12.400Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT9DC8FFA70F73409DBD3B60EBAF72A7C3/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DELITOS INFORMÁTICOS.xlsx,"{'value': '2026-02-23T23:15:00.886Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT92AC3B93285642069C008C997FA6F8DA/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
CAPTURAS POR MINERÍA ILEGAL.xlsx,"{'value': '2026-02-24T00:07:49.912Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT4F7084E366154CD1B233DEE8C36998A6/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIONES MINERIA.xlsx,"{'value': '2026-02-24T00:08:41.791Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD4C1B83B821F41B3BB75F85A518B52A1/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN ORO Y MERCURIO.xlsx,"{'value': '2026-02-24T00:09:13.783Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT59D80A6A5AC04C588D0E2353D523DFAB/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
MINAS INTERVENIDAS.xlsx,"{'value': '2026-02-24T00:08:13.971Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD646BAB2D93A4EAC8A25B182A38EDDF8/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
SECUESTRO.xlsx,"{'value': '2026-02-23T23:10:43.104Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTDC54E523A2BA492AA1C57065A0D3C6D8/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
TRATA DE PERSONAS Y TRÁFICO DE MIGRANTES.xlsx,"{'value': '2026-02-23T23:10:18.122Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT03B8C922E3C54A1698E6FE92BDA66FB4/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HOMICIDIO ACCIDENTES DE TRÁNSITO.xlsx,"{'value': '2026-02-23T23:18:51.324Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD456E9301E634D93ACBCF54B70942138/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
